---------------------------------------------------------------
---------------------------------------------------------------
Nodo resuelto                                                                                    Nodo no-resuelto                                                                                    Distancia minima                                                                                     Distancia total                                                                                     Ultima conexion
31,                                                                                                 80_8,12_3,67_11,                                                                                    3                                                                                                   3                                                                                                   31-12                                                   


31,12,                                                                                              80_8,67_11,38_13,                                                                                   8                                                                                                   8                                                                                                   31-80                                                   


31,12,80,                                                                                           67_11,38_13,65_12,76_17,                                                                            11                                                                                                  11                                                                                                  31-67                                                   


12,80,67,                                                                                           38_13,65_12,76_17,20_25,70_26,                                                                      12                                                                                                  12                                                                                                  80-65                                                   


12,80,67,65,                                                                                        38_13,76_17,20_25,70_26,50_13,                                                                      13                                                                                                  13                                                                                                  65-50                                                   


12,80,67,50,                                                                                        38_13,76_17,20_25,70_26,26_30,13_15,                                                                13                                                                                                  13                                                                                                  12-38                                                   


80,67,50,38,                                                                                        76_17,20_25,70_26,26_30,13_15,73_28,27_20,                                                          15                                                                                                  15                                                                                                  50-13                                                   


80,67,50,38,13,                                                                                     76_17,20_25,70_26,26_30,73_28,27_20,26_18,                                                          17                                                                                                  17                                                                                                  80-76                                                   


67,50,38,13,76,                                                                                     20_25,70_26,26_30,73_28,27_20,26_18,20_21,                                                          30                                                                                                  30                                                                                                  50-26                                                   


67,38,76,26,                                                                                        20_25,70_26,73_28,27_20,20_21,15_36,                                                                20                                                                                                  20                                                                                                  38-27                                                   


67,38,76,26,27,                                                                                     20_25,70_26,73_28,20_21,15_36,34_36,                                                                25                                                                                                  25                                                                                                  67-20                                                   


67,38,26,27,20,                                                                                     70_26,73_28,15_36,34_36,34_30,15_34,70_32,9_28,10_35,                                                  26                                                                                                  26                                                                                                  67-70                                                   


38,26,27,20,                                                                                        73_28,15_36,34_36,34_30,15_34,9_28,10_35,                                                           28                                                                                                  28                                                                                                  20-9                                                    


38,26,27,20,9,                                                                                      73_28,15_36,34_36,34_30,15_34,10_35,86_37,                                                          28                                                                                                  28                                                                                                  38-73                                                   


26,27,20,9,73,                                                                                      15_36,34_36,34_30,15_34,10_35,86_37,45_33,                                                          36                                                                                                  36                                                                                                  27-34                                                   


26,20,9,73,34,                                                                                      15_36,15_34,10_35,86_37,45_33,21_42,                                                                33                                                                                                  33                                                                                                  73-45                                                   


26,20,9,34,45,                                                                                      15_36,15_34,10_35,86_37,21_42,97_53,                                                                36                                                                                                  36                                                                                                  26-15                                                   


20,9,34,45,                                                                                         10_35,86_37,21_42,97_53,                                                                            35                                                                                                  35                                                                                                  20-10                                                   


9,34,45,10,                                                                                         86_37,21_42,97_53,3_37,23_42,21_38,52_40,56_46,86_40,                                                  37                                                                                                  37                                                                                                  10-3                                                    


9,34,45,10,3,                                                                                       86_37,21_42,97_53,23_42,21_38,52_40,56_46,86_40,23_49,                                                  37                                                                                                  37                                                                                                  9-86                                                    


34,45,10,3,                                                                                         21_42,97_53,23_42,21_38,52_40,56_46,23_49,                                                          42                                                                                                  42                                                                                                  34-21                                                   


45,10,3,                                                                                            97_53,23_42,52_40,56_46,23_49,                                                                      40                                                                                                  40                                                                                                  10-52                                                   


45,10,3,52,                                                                                         97_53,23_42,56_46,23_49,97_48,                                                                      42                                                                                                  42                                                                                                  10-23                                                   


45,10,52,                                                                                           97_53,56_46,97_48,                                                                                  46                                                                                                  46                                                                                                  10-56                                                   


45,52,56,                                                                                           97_53,97_48,18_52,                                                                                  53                                                                                                  53                                                                                                  45-97                                                   


56,97,                                                                                              18_52,18_55,                                                                                        52                                                                                                  52                                                                                                  56-18                                                   


$                                                                                                   $                                                                                                   $                                                                                                   $                                                                                                   $                                                       


La ruta es: 70-67-31
